id,text,created_at,retweet_count,favorite_count,source,length,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,user_statuses_count,user_verified,user_url,number_of_QuestionMarks,user_has_url?
1245008928833859584,"@_katiekurtz_ @CliftonWiens @maggiekb1 I’ll look when I have time (for my own interest), but it’s NOT unrealistic t… https://t.co/87j7ebPMP1",2020-03-31 15:23:54,0,0,Twitter for iPhone,140,177435702,MaxPincombe,🇨🇦”Magic” Max Pincombe🇨🇦,2010-08-12 03:35:34,"Father, Son & Brother. Born in the 70's, a child of the 80's, and still learning what it is to be a Good Man in the new millennium.",196,502,"Calgary, Alberta, Canada",4688,False,https://t.co/zTyj9PAJuS,,Yes
1245008928364285952,"@yapragun @AdvocatesMsr @RanaAyyub Don't give them any medical treatment,why our country's money loss on such respo… https://t.co/2YN1Ykc0Fd",2020-03-31 15:23:54,0,0,Twitter for Android,140,1188789919076012033,JyotiPandya13,Jyoti Pandya,2019-10-28 12:10:19,"Proud daughter of India,Proud mother of a son 🇮🇳Jay ma Bharti🙏🇮🇳",64,120,,815,False,,,No
1245008927693189123,maybe julia predicted corona,2020-03-31 15:23:54,0,0,Twitter for Android,28,967182670307393536,thewallstour,camila,2018-02-23 23:41:32,Written for his fans and inspired by his idols #Walls marks the debut solo album from Louis Tomlinson.,468,385,louie ✩,16244,False,https://t.co/ZxsYf3uWKt,,Yes
1245008927454048257,"@KTRTRS
Dear sir,
Below farm video belongs to My sister, before CORONA effect, every day 100 bxs of Tomatoes they s… https://t.co/xcKxPRUT4J",2020-03-31 15:23:54,0,0,Twitter for Android,140,798015759532363777,bojireddy1986,ettedi bojanna,2016-11-14 04:12:38,,5,45,,3,False,,,No
1245008925793161217,A strong immune system can help you fight off Corona efficiently. Follow these easy tips and spend your quarantine… https://t.co/9pPQQDAIAn,2020-03-31 15:23:53,0,0,Twitter Web App,139,2971377714,FINCA_Pakistan,FINCA Microfinance,2015-01-10 08:08:13,"FINCA’s mission is to alleviate poverty through lasting solutions that help people build assets, create jobs and raise their standard of living.",592,36,Pakistan,842,False,http://t.co/gYEjbgm0T5,,Yes
1245008925763579905,"@MINJIKKlM eliwa in tears because she's so happy. thank you, really. 😭💙 ah, go visit her if you have free time. but… https://t.co/Ttjy4fdOts",2020-03-31 15:23:53,0,0,Twitter for Android,140,1049929153502269441,xueiliwa,eliwa.,2018-10-10 07:46:31,(RP/1995) — 大家好，我是酷酷的绵羊，请大家跟我一起说【酷】大家好，我是SNH48 Team HII 的许杨玉琢。girl crush of 7Senses and #青春有你 participant. #lavién步美. current rank : 26.,14,20,chn.,129,False,,,No
1245008923301642241,thank u corona for cancelling baseball season forcing bryan to pay attention to me,2020-03-31 15:23:53,0,0,Twitter for iPhone,82,3367770281,squizeeyy,danielle!,2015-07-09 15:22:59,help me obi juan whoever the fuck you are you’re my only ho,124,170,"Florida, USA",4644,False,,,No
1245008921359769602,"I don't think it matters anymore who was responsible for triggering the Corona domino in India. The fact is, it has… https://t.co/kJarMY2nJE",2020-03-31 15:23:52,0,0,Twitter for iPhone,140,800628655,needmehere,Lone Ninja (Turtle),2012-09-03 15:26:37,Your Arm chair Activist next door. Hoping serendipity would bring me my muse for the next novel! keeping up with my multiple personality disorder.,71,447,Delhi/Mumbai,1152,False,https://t.co/lD8DVfTqVy,,Yes
1245008916666146816,@nuanced_nuisanc @being_akj @immoin12 @Mohan_Sujata @sane_indian @sardesairajdeep perliament had provision to check… https://t.co/ugaLGkNZW9,2020-03-31 15:23:51,0,0,Twitter Web App,140,40348666,sunil1990,bhardwaj sunil singh,2009-05-15 22:22:08,"""अहिंसा परमो धर्मः धर्म हिंसा तथैव च: l""

(अहिंसा सबसे बड़ा धर्म है और धर्म रक्षार्थ हिंसा भी उसी प्रकार श्रेष्ठ है)",53,197,gurgaon,1829,False,,,No
1245008915789762560,@TheView @KimKardashian 😁😁😁Corona change peoples. BC is not the same as  AC,2020-03-31 15:23:51,0,0,Twitter for Android,75,1174182006894288904,Aliar46335128,Aliar,2019-09-18 04:43:33,,14,594,,592,False,,,No
