id,text,created_at,user_id,user_screen_name,user_name
1305444264986513408,bruh apparently 1 kid in yr 9 at saddleworth has corona virus and they haven’t shut down the whole school. i don’t… https://t.co/RXf0IAtv5R,2020-09-14 09:52:21,1079030032117497856,ofeeIia,мαуαн
1305444239736745984,"@MaryamNSharif @hinaparvezbutt Corona virus is not cancer 
My son was positive stayed home for two weeks without me… https://t.co/0OynbPdLHv",2020-09-14 09:52:15,1254982578823671814,LOOKQgrPtLdZZYT,بس کر
1305444225421434880,"@PMOIndia Hon'ble PM Sir,looking at the new Socio-Economic Changes in the Society after the Corona Virus Surfaced,i… https://t.co/Wb9sa5UGdv",2020-09-14 09:52:11,2730894216,DLSAHU100,DIBYALOCHAN SAHU
1305444168236326912,I'm just wondering when all these boomers &amp; GenX folks gonna realise that there's no Ramban Upaay for corona and  s… https://t.co/tsmKEgqUXu,2020-09-14 09:51:58,1529823312,NeeL_Jay,🇮🇳 Nikhil Vishwanath Jadhav
1305444136774856704,"us: i cant wait for school to get shut down 3 week break! corona doing gods work 

 *corona shuts down everything i… https://t.co/v5zE0fBoNg",2020-09-14 09:51:50,3365204115,8wui8u,𝐥𝐚𝐲 taeyong best boy !
1305444133398511617,Corona lectures aint it,2020-09-14 09:51:50,1079180471827947520,CoverByN,N 🦅
1305444124468940800,@DeeRockUK Happy Birthday Dee!!!! Have a good Day dont let Corona ruin it just drink it away into non-existence!,2020-09-14 09:51:47,1245811071371395078,max10uniteed,Max10uniteed
1305444114968829953,#computersecurity | #comptia | Global In-Vehicle Infotainment Cyber Security Market 2020 Analysis by Latest COVID19… https://t.co/wYSSbsTGco,2020-09-14 09:51:45,109082290,NcsVentures,National Cyber Security
1305444112917643264,@samirdash01 @Naveen_Odisha @BJD4Odisha @GovernorOdisha Get well soon.. But also take a reminder of this.. A lot of… https://t.co/beDRoYy8dD,2020-09-14 09:51:45,1301083638692368387,Madhu79906005,Madhu
1305444107108507648,"Hey Faiyaz Hasim Idrasiya    ! Your Ketto fundraiser has been approved https://t.co/g742fkLABO
Share it with your f… https://t.co/xi6e67kj2c",2020-09-14 09:51:43,1305353248346234881,FaiyazHasim,Faiyaz Hasim Idrasiya
1305444079682101248,"Opposition made the people to question the Government about diversion from Jobs,GDP,Economy,Corona.

Now Government… https://t.co/NZtMO40EbZ",2020-09-14 09:51:37,4830873385,mightbetanveer,Tanveer
1305444073898225664,"👏raze👏the👏goddamn👏airport👏and👏build👏 dense👏housing

https://t.co/evaiEYwvaF",2020-09-14 09:51:35,2579124087,MikeRuney,mike runey of northern wychwood limited
1305444060228771841,"Students from Containment Zone are Allowed to give Exams😔
Students with mild symptoms are allowed to give exam
Stud… https://t.co/L6upOLGtWE",2020-09-14 09:51:32,1100262412391985152,ImSRP3,Er. Sumit P🚩
1305444042671415298,#TNStandWithSuriya Dmk simply doing poltics here. Why Other states its own Party not against Neet. If Dmk have some… https://t.co/IwmzYnA5Wc,2020-09-14 09:51:28,1284173284636950534,secularman1978,Secularman1978
1305444036359204864,@KarenWeseliza @JohnsonAndra @Wolfiesmom Don’t forget: he apparently doesn’t value the lives of “loser” fallen vets… https://t.co/oPyKjUerkA,2020-09-14 09:51:26,128469436,Erisilwen,Heather LaPlante
1305444033653686272,"Media focus on 
Rhea Chakraborty✅
Kangana Ranaut✅
Religious propoganda✅
Employment❌
Youths Jobs❌
Merchant Problems❌… https://t.co/Sr9CXvbJHy",2020-09-14 09:51:26,1305437729090662401,URSASIFSHAIK,Asif Shaik
